section,Zmax,Zmin,Zav,H
1,78.5,67,75.43,73.2
1,78.5,67,75.43,69.2
1,78.5,67,75.43,69
1,78.5,67,75.43,69
2,75.5,66.5,73.66,73.5
2,75.5,66.5,73.66,72.5
2,75.5,66.5,73.66,65.5
2,75.5,66.5,73.66,65.5
3,75,64,72.06,71
3,75,64,72.06,68
4,75,64,72.06,70.5
4,75,64,72.06,68.5
4,75,64,72.06,67
4,75,64,72.06,64.5
4,75,64,72.06,63
5,75,58.5,69.09,72
5,75,58.5,69.09,69
5,75,58.5,69.09,68
5,75,58.5,69.09,66.5
5,75,58.5,69.09,62.5
5,75,58.5,69.09,62.5
6,74,68,73.72,69.5
7,74,68,73.72,76.5
7,74,68,73.72,74
7,74,68,73.72,73
7,74,68,73.72,73
7,74,68,73.72,70.5
7,74,68,73.72,64
8,74,66.5,72.91,70.5
8,74,66.5,72.91,68
8,74,66.5,72.91,66
9,74.5,66,72.89,66
10,74,65.5,72.37,65.5
11,74,62,70.48,74
11,74,62,70.48,70
11,74,62,70.48,68
11,74,62,70.48,67
11,74,62,70.48,67
11,74,62,70.48,66
11,74,62,70.48,63.5
11,74,62,70.48,63
12,74,61,69.94,65
13,73,67,72.68,71
13,73,67,72.68,62
14,73,67,72.68,68
14,73,67,72.68,67
15,73,66.5,72.41,71
15,73,66.5,72.41,70.5
15,73,66.5,72.41,66.7
16,73,65,71.6,72
16,73,65,71.6,70.5
16,73,65,71.6,70.2
16,73,65,71.6,70.2
16,73,65,71.6,69.2
16,73,65,71.6,68.7
16,73,65,71.6,66.5
16,73,65,71.6,64.5
16,73,65,71.6,63.5
17,73,64.5,71.33,74
17,73,64.5,71.33,73
17,73,64.5,71.33,71.5
17,73,64.5,71.33,62.5
17,73,64.5,71.33,66.5
17,73,64.5,71.33,62.3
18,73,64,71.06,66
18,73,64,71.06,64.5
18,73,64,71.06,64
19,73.2,63,70.62,62.7
20,72.7,69,73.61,73.2
20,72.7,69,73.61,73
20,72.7,69,73.61,72.7
20,72.7,69,73.61,70
20,72.7,69,73.61,69
20,72.7,69,73.61,68.5
20,72.7,69,73.61,68
20,72.7,69,73.61,66
21,72,68,72.72,73
21,72,68,72.72,68.5
21,72,68,72.72,68
22,72,67,72.18,73
22,72,67,72.18,71
22,72,67,72.18,67
23,72,65,71.1,74.2
23,72,65,71.1,70.5
23,72,65,71.1,69.5
23,72,65,71.1,66
23,72,65,71.1,65.5
23,72,65,71.1,65
23,72,65,71.1,65
24,72,65.5,71.37,65.5
25,72,64,70.56,66
25,72,64,70.56,63
26,72,63,70.02,70.5
26,72,63,70.02,70.5
26,72,63,70.02,69
26,72,63,70.02,65
26,72,63,70.02,63
27,72,63,70.02,69
27,72,63,70.02,67
27,72,63,70.02,63
28,72,63,70.02,73
28,72,63,70.02,67
28,72,63,70.02,70.5
28,72,63,70.02,70
28,72,63,70.02,66.5
28,72,63,70.02,63
29,72.5,63.5,70.54,67.5
29,72.5,63.5,70.54,67.2
29,72.5,63.5,70.54,66.7
30,72,62,69.48,64
31,72.5,62,69.73,71
31,72.5,62,69.73,70
31,72.5,62,69.73,70
31,72.5,62,69.73,66
31,72.5,62,69.73,65
31,72.5,62,69.73,65
32,72,62,69.48,74
32,72,62,69.48,72
32,72,62,69.48,69
32,72,62,69.48,67.5
32,72,62,69.48,63.5
33,72,62,69.48,72
33,72,62,69.48,71.5
